LEXEME  TOKEN                 DEFINITION

INT     DATATYPE              Integer data type
a       IDENTIFIER            identifier
=       ASSIGNMENT            Assignment symbol
5       NUMBER                number
;       DELIMETER             End of line symbol
INT     DATATYPE              Integer data type
b       IDENTIFIER            identifier
=       ASSIGNMENT            Assignment symbol
a       IDENTIFIER            identifier
+       OPERATOR_ARITHMETIC   Addition symbol
10      NUMBER                number
;       DELIMETER             End of line symbol
CHAR    DATATYPE              Character data type
c       IDENTIFIER            identifier
=       ASSIGNMENT            Assignment symbol
COMP    KEYWORD               Input statement
(       LEFT_PAREN            Open parenthesis - start of expression
)       RIGHT_PAREN           Close parenthesis - end of expression
;       DELIMETER             End of line symbol
SHOW    KEYWORD               Output statement
(       LEFT_PAREN            Open parenthesis - start of expression
a       IDENTIFIER            identifier
,       INVALID               invalid symbol
